# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Jan 23 16:21:11 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Euclid VIS+NISP (ABmags)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  VISmag  Ymag    Bluemag  Jmag    Redmag  Hmag
0.0001 -2.19174 10.00000 0.1000000015 1.5704020300    0.100 -2.782  3.5584  5.406    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-16      0.00 7.463e-01 2.536e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.726 11.868 11.055 11.031 10.877 10.855 10.889
0.0001 -2.19174 10.00000 0.1098214313 1.6617936526    0.109 -2.634  3.5738  5.357    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-16      0.00 7.448e-01 2.551e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.354 11.446 10.704 10.683 10.544 10.523 10.555
0.0001 -2.19174 10.00000 0.1294642836 1.8211319439    0.129 -2.393  3.5963  5.278    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-16      0.00 7.422e-01 2.577e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.752 10.744 10.115 10.098 9.987 9.978 10.022
0.0001 -2.19174 10.00000 0.1491071582 1.9553364515    0.149 -2.231  3.6076  5.224    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-16      0.00 7.405e-01 2.594e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.348 10.318 9.734 9.719 9.618 9.607 9.648
0.0001 -2.19174 10.00000 0.1687500030 2.0701541469    0.168 -2.106  3.6150  5.181    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.17e-16      0.00 7.397e-01 2.602e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.034 9.994 9.436 9.422 9.327 9.316 9.353
0.0001 -2.19174 10.00000 0.2080357224 2.2558510723    0.207 -1.902  3.6260  5.112    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.62e-16      0.00 7.392e-01 2.607e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.524 9.467 8.948 8.937 8.850 8.840 8.876
0.0001 -2.19174 10.00000 0.2571428716 2.4304642418    0.257 -1.712  3.6360  5.055    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-15      0.00 7.393e-01 2.606e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.049 8.976 8.494 8.484 8.407 8.402 8.443
0.0001 -2.19174 10.00000 0.3062500358 2.5624903122    0.306 -1.565  3.6444  5.018    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-15      0.00 7.394e-01 2.605e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.682 8.595 8.143 8.135 8.068 8.067 8.113
0.0001 -2.19174 10.00000 0.3553571403 2.6656370809    0.355 -1.442  3.6522  4.991    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.44e-15      0.00 7.404e-01 2.595e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.000e-04 8.375 8.275 7.851 7.844 7.786 7.789 7.840
0.0001 -2.19174 10.00000 0.4044643044 2.7481539575    0.404 -1.324  3.6604  4.962    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.1e-15      0.00 7.502e-01 2.497e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 8.079 7.971 7.576 7.569 7.519 7.527 7.583
0.0001 -2.19174 10.00000 0.4535714388 2.8154466270    0.453 -1.180  3.6734  4.920    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.27e-15      0.00 7.507e-01 2.492e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 7.721 7.603 7.250 7.246 7.208 7.223 7.287
0.0001 -2.19174 10.00000 0.5026785731 2.8712790757    0.503 -1.021  3.6875  4.863    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.25e-15      0.00 7.523e-01 2.476e-01 1.788e-05 4.824e-06 4.375e-05 -1.000 9.996e-05 7.323 7.199 6.892 6.890 6.865 6.887 6.960
0.0001 -2.19174 10.00000 0.5517857671 2.9182067866    0.551 -0.830  3.7060  4.786    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-14      0.00 7.793e-01 2.206e-01 1.605e-05 4.332e-06 3.930e-05 -1.000 9.999e-05 6.846 6.725 6.475 6.474 6.466 6.496 6.582
