# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Fri Jan 28 21:12:53 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: LSST ugrizy, July 2019 total filter throughputs for DP0 (all ABmags)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    ymag
0.0001 -2.19174 10.07918 0.1000000015 1.5704020262    0.100 -2.780  3.5588  5.405    1  0.000  0.545     0.00     0.00 -1 -1.31e-16      0.00 7.453e-01 2.546e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.721 16.982 13.733 12.302 11.640 11.346 11.173
0.0001 -2.19174 10.07918 0.1098214313 1.6617937088    0.109 -2.632  3.5741  5.357    1  0.000  0.545     0.00     0.00 -1 -1.86e-16      0.00 7.435e-01 2.564e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.349 16.118 13.167 11.822 11.237 10.968 10.806
0.0001 -2.19174 10.07918 0.1294642836 1.8211320639    0.129 -2.390  3.5965  5.277    1  0.000  0.545     0.00     0.00 -1 -3.28e-16      0.00 7.405e-01 2.594e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.744 14.422 12.165 11.042 10.562 10.331 10.191
0.0001 -2.19174 10.07918 0.1491071582 1.9553365707    0.149 -2.227  3.6079  5.220    1  0.000  0.545     0.00     0.00 -1 -4.75e-16      0.00 7.387e-01 2.612e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.990e-05 10.336 13.723 11.630 10.590 10.142 9.927 9.797
0.0001 -2.19174 10.07918 0.1687500030 2.0701541901    0.168 -2.100  3.6152  5.176    1  0.000  0.545     0.00     0.00 -1 -6.29e-16      0.00 7.378e-01 2.621e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.990e-05 10.020 13.259 11.243 10.250 9.821 9.615 9.492
0.0001 -2.19174 10.07918 0.2080357224 2.2558510303    0.207 -1.896  3.6261  5.108    1  0.000  0.545     0.00     0.00 -1 -9.79e-16      0.00 7.374e-01 2.625e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.511 12.531 10.630 9.705 9.303 9.111 8.999
0.0001 -2.19174 10.07918 0.2571428716 2.4304642677    0.257 -1.708  3.6362  5.052    1  0.000  0.545     0.00     0.00 -1 -1.45e-15      0.00 7.377e-01 2.622e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 9.996e-05 9.041 11.877 10.074 9.202 8.823 8.645 8.542
0.0001 -2.19174 10.07918 0.3062500358 2.5624904633    0.306 -1.563  3.6446  5.017    1  0.000  0.545     0.00     0.00 -1 -1.93e-15      0.00 7.377e-01 2.622e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 9.996e-05 8.677 11.361 9.640 8.810 8.451 8.285 8.189
0.0001 -2.19174 10.07918 0.3553571403 2.6656370163    0.355 -1.440  3.6525  4.990    1  0.000  0.544     0.00     0.00 -1 -2.45e-15      0.00 7.387e-01 2.612e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.000e-04 8.371 10.913 9.267 8.478 8.137 7.981 7.893
0.0001 -2.19174 10.07918 0.4044643044 2.7481539249    0.404 -1.319  3.6608  4.959    1  0.000  0.545     0.00     0.00 -1 -3.14e-15      0.00 7.500e-01 2.499e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 8.068 10.462 8.903 8.153 7.831 7.686 7.605
0.0001 -2.19174 10.07918 0.4535714388 2.8154466152    0.453 -1.173  3.6741  4.916    1  0.000  0.545     0.00     0.00 -1 -4.37e-15      0.00 7.507e-01 2.492e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 7.702 9.870 8.447 7.758 7.465 7.336 7.266
0.0001 -2.19174 10.07918 0.5026785731 2.8712792397    0.503 -1.009  3.6887  4.855    1  0.000  0.545     0.00     0.00 -1 -6.48e-15      0.00 7.526e-01 2.473e-01 1.786e-05 4.818e-06 4.370e-05 -1.000 1.000e-04 7.293 9.222 7.947 7.323 7.060 6.949 6.890
0.0001 -2.19174 10.07918 0.5517857671 2.9182069302    0.551 -0.809  3.7080  4.772    1  0.000  0.544     0.00     0.00 -1 -1.08e-14      0.00 7.851e-01 2.148e-01 1.566e-05 4.228e-06 3.837e-05 -1.000 9.948e-05 6.792 8.440 7.345 6.801 6.576 6.486 6.442
0.0001 -2.19174 10.07918 0.6008928418 2.9580702782    0.600 -0.603  3.7325  4.701    1  0.000  0.544     0.00     0.00 -1  -1.8e-14      0.00 7.980e-01 2.020e-01 1.482e-05 4.004e-06 3.635e-05 -1.000 5.256e-05 6.277 7.631 6.727 6.279 6.099 6.033 6.007
0.0001 -2.19174 10.07918 0.6072366834 2.9627888203    0.607 -0.575  3.7362  4.693    1  0.000  0.544     0.00     0.00 -1 -1.93e-14      0.00 8.001e-01 1.999e-01 1.469e-05 3.968e-06 3.603e-05 -1.000 1.489e-05 6.207 7.521 6.643 6.208 6.035 5.973 5.949
0.0001 -2.19174 10.07918 0.6183252931 2.9708235264    0.618 -0.525  3.7428  4.677    1  0.000  0.543     0.00     0.00 -1 -2.18e-14      0.00 8.038e-01 1.961e-01 1.444e-05 3.903e-06 3.544e-05 -1.000 1.000e-04 6.083 7.338 6.498 6.087 5.924 5.869 5.849
0.0001 -2.19174 10.07918 0.6282081604 2.9777655602    0.628 -0.480  3.7486  4.663    1  0.000  0.543     0.00     0.00 -1 -2.44e-14      0.00 8.074e-01 1.925e-01 1.421e-05 3.841e-06 3.489e-05 -1.000 5.597e-05 5.971 7.177 6.369 5.978 5.825 5.775 5.759
