# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Fri Jan 28 21:10:05 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: LSST ugrizy, July 2019 total filter throughputs for DP0 (all ABmags)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    ymag
0.0001 -2.19174 10.00000 0.1000000015 1.5704020262    0.100 -2.782  3.5584  5.406    1  0.000  0.545     0.00     0.00 -1  -1.3e-16      0.00 7.463e-01 2.536e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.726 16.997 13.742 12.309 11.645 11.351 11.177
0.0001 -2.19174 10.00000 0.1098214313 1.6617937088    0.109 -2.634  3.5738  5.357    1  0.000  0.545     0.00     0.00 -1 -1.85e-16      0.00 7.448e-01 2.551e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.354 16.133 13.176 11.829 11.243 10.974 10.812
0.0001 -2.19174 10.00000 0.1294642836 1.8211320639    0.129 -2.393  3.5963  5.278    1  0.000  0.545     0.00     0.00 -1 -3.25e-16      0.00 7.422e-01 2.577e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.752 14.446 12.178 11.052 10.571 10.339 10.198
0.0001 -2.19174 10.00000 0.1491071582 1.9553365707    0.149 -2.231  3.6076  5.224    1  0.000  0.545     0.00     0.00 -1 -4.67e-16      0.00 7.405e-01 2.594e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.348 13.740 11.644 10.603 10.154 9.938 9.809
0.0001 -2.19174 10.00000 0.1687500030 2.0701541901    0.168 -2.106  3.6150  5.181    1  0.000  0.545     0.00     0.00 -1 -6.17e-16      0.00 7.397e-01 2.602e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.034 13.277 11.259 10.265 9.835 9.628 9.506
0.0001 -2.19174 10.00000 0.2080357224 2.2558510303    0.207 -1.902  3.6260  5.112    1  0.000  0.545     0.00     0.00 -1 -9.62e-16      0.00 7.392e-01 2.607e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.524 12.547 10.644 9.719 9.315 9.124 9.011
0.0001 -2.19174 10.00000 0.2571428716 2.4304642677    0.257 -1.712  3.6360  5.055    1  0.000  0.545     0.00     0.00 -1 -1.43e-15      0.00 7.393e-01 2.606e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.049 11.888 10.084 9.210 8.831 8.653 8.549
0.0001 -2.19174 10.00000 0.3062500358 2.5624904633    0.306 -1.565  3.6444  5.018    1  0.000  0.545     0.00     0.00 -1 -1.92e-15      0.00 7.394e-01 2.605e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.682 11.370 9.646 8.815 8.456 8.289 8.194
0.0001 -2.19174 10.00000 0.3553571403 2.6656370163    0.355 -1.442  3.6522  4.991    1  0.000  0.544     0.00     0.00 -1 -2.44e-15      0.00 7.404e-01 2.595e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.000e-04 8.375 10.923 9.274 8.483 8.141 7.985 7.897
0.0001 -2.19174 10.00000 0.4044643044 2.7481539249    0.404 -1.324  3.6604  4.962    1  0.000  0.545     0.00     0.00 -1  -3.1e-15      0.00 7.502e-01 2.497e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 8.079 10.481 8.918 8.166 7.843 7.697 7.616
