# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Fri Jan 28 21:25:45 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: LSST ugrizy, July 2019 total filter throughputs for DP0 (all ABmags)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    ymag
0.0002 -1.89055 10.00000 0.6130759120 2.9670529366    0.613 -0.593  3.7334  4.704    1  0.000  0.544     0.00     0.00 -1 -1.82e-14      0.00 7.929e-01 2.069e-01 3.033e-05 8.194e-06 7.438e-05 -1.000 1.999e-04 6.252 7.630 6.693 6.243 6.067 6.005 5.978
0.0002 -1.89055 10.00000 0.6277009249 2.9774141312    0.627 -0.532  3.7416  4.686    1  0.000  0.543     0.00     0.00 -1 -2.11e-14      0.00 7.969e-01 2.029e-01 2.981e-05 8.055e-06 7.314e-05 -1.000 1.724e-04 6.100 7.393 6.513 6.092 5.930 5.876 5.855
0.0002 -1.89055 10.00000 0.6411740184 2.9865701199    0.641 -0.476  3.7491  4.669    1  0.000  0.543     0.00     0.00 -1 -2.43e-14      0.00 8.009e-01 1.990e-01 2.930e-05 7.920e-06 7.192e-05 -1.000 1.618e-04 5.959 7.184 6.349 5.955 5.805 5.758 5.741
0.0002 -1.89055 10.00000 0.6499999762 2.9923686981    0.650 -0.438  3.7540  4.657    1  0.000  0.543     0.00     0.00 -1 -2.66e-14      0.00 8.036e-01 1.962e-01 2.896e-05 7.826e-06 7.108e-05 -1.000 1.877e-04 5.866 7.050 6.242 5.865 5.723 5.679 5.666
0.0002 -1.89055 10.00000 0.6621206999 3.0000877380    0.662 -0.387  3.7604  4.639    1  0.000  0.543     0.00     0.00 -1 -3.03e-14      0.00 8.083e-01 1.915e-01 2.835e-05 7.665e-06 6.963e-05 -1.000 1.473e-04 5.737 6.874 6.096 5.740 5.608 5.570 5.562
0.0002 -1.89055 10.00000 0.6765359044 3.0089185238    0.676 -0.325  3.7678  4.616    1  0.000  0.542     0.00     0.00 -1 -3.55e-14      0.00 8.144e-01 1.855e-01 2.757e-05 7.457e-06 6.777e-05 -1.000 1.454e-04 5.583 6.666 5.921 5.590 5.470 5.439 5.435
0.0002 -1.89055 10.00000 0.6902233958 3.0169725418    0.690 -0.265  3.7747  4.593    1  0.000  0.542     0.00     0.00 -1 -4.14e-14      0.00 8.206e-01 1.792e-01 2.677e-05 7.243e-06 6.584e-05 -1.000 2.000e-04 5.434 6.477 5.756 5.446 5.336 5.312 5.312
0.0002 -1.89055 10.00000 0.6999999881 3.0225379467    0.700 -0.222  3.7795  4.575    1  0.000  0.542     0.00     0.00 -1 -4.63e-14      0.00 8.254e-01 1.744e-01 2.615e-05 7.079e-06 6.438e-05 -1.000 2.000e-04 5.326 6.341 5.636 5.341 5.239 5.220 5.222
0.0002 -1.89055 10.00000 0.7004695535 3.0228016376    0.700 -0.220  3.7797  4.574    1  0.000  0.542     0.00     0.00 -1 -4.65e-14      0.00 8.257e-01 1.741e-01 2.612e-05 7.071e-06 6.430e-05 -1.000 1.994e-04 5.320 6.334 5.630 5.336 5.235 5.215 5.218
0.0002 -1.89055 10.00000 0.7130185366 3.0297193527    0.713 -0.163  3.7855  4.548    1  0.000  0.539     0.00     0.00 -1 -5.43e-14      0.00 8.328e-01 1.670e-01 2.517e-05 6.840e-06 6.226e-05 -1.000 1.733e-04 5.177 6.166 5.474 5.197 5.105 5.090 5.096
0.0002 -1.89055 10.00000 0.7251088023 3.0361647606    0.725 -0.106  3.7910  4.520    1  0.000  0.536     0.00     0.00 -1 -6.34e-14      0.00 8.394e-01 1.605e-01 2.432e-05 6.634e-06 6.045e-05 -1.000 1.000e-04 5.034 6.001 5.319 5.058 4.974 4.965 4.974
0.0002 -1.89055 10.00000 0.7358694077 3.0417282581    0.736 -0.053  3.7957  4.492    1  0.000  0.534     0.00     0.00 -1 -7.32e-14      0.00 8.449e-01 1.550e-01 2.364e-05 6.471e-06 5.901e-05 -1.000 1.276e-04 4.903 5.852 5.177 4.930 4.853 4.848 4.860
0.0002 -1.89055 10.00000 0.7460150123 3.0468313694    0.746 -0.001  3.8000  4.464    1  0.000  0.532     0.00     0.00 -1 -8.47e-14      0.00 8.496e-01 1.503e-01 2.308e-05 6.339e-06 5.786e-05 -1.000 1.078e-04 4.773 5.710 5.037 4.802 4.732 4.732 4.746
