# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Tue Jun  9 14:43:46 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: LSST + Gaia + Euclid + Roman (updated as of 2025, LSST+Euclid are ABmags, Gaia+Roman are Vegamags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    ymag    Gmag    G_BPmag  G_RPmag  VISmag  Ymag    Bluemag  Jmag    Redmag  Hmag    F062mag  F087mag  F106mag  F129mag  F158mag  F184mag  F146mag  F213mag
0.0001 -2.19174 10.00000 0.1000000015 1.1711064122    0.100 -2.782  3.5584  5.406    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-16      0.00 7.463e-01 2.536e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.726 16.437 13.692 12.219 11.550 11.244 11.070 12.110 13.080 11.139 11.773 10.969 10.948 10.835 10.887 11.011 12.054 10.744 10.311 9.880 9.582 9.511 9.913 9.447
0.0001 -2.19174 10.00000 0.1098214313 1.2482754908    0.109 -2.634  3.5738  5.357    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-16      0.00 7.448e-01 2.551e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.354 15.595 13.104 11.752 11.169 10.898 10.735 11.687 12.572 10.759 11.372 10.643 10.624 10.511 10.543 10.639 11.603 10.398 9.984 9.561 9.228 9.133 9.572 9.068
0.0001 -2.19174 10.00000 0.1294642836 1.3786745408    0.129 -2.393  3.5963  5.278    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-16      0.00 7.422e-01 2.577e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.752 14.385 12.219 11.053 10.555 10.321 10.178 11.018 11.797 10.149 10.735 10.101 10.085 9.981 9.989 10.052 10.912 9.823 9.440 9.035 8.666 8.536 9.018 8.471
0.0001 -2.19174 10.00000 0.1491071582 1.4855959672    0.149 -2.231  3.6076  5.224    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-16      0.00 7.405e-01 2.594e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.348 13.713 11.690 10.609 10.145 9.928 9.795 10.582 11.314 9.742 10.316 9.725 9.711 9.614 9.615 9.667 10.470 9.430 9.063 8.668 8.289 8.147 8.641 8.080
0.0001 -2.19174 10.00000 0.1687500030 1.5756139920    0.168 -2.106  3.6150  5.181    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.17e-16      0.00 7.397e-01 2.602e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.034 13.236 11.300 10.271 9.826 9.620 9.494 10.247 10.950 9.426 9.992 9.428 9.415 9.324 9.322 9.369 10.132 9.122 8.766 8.378 7.996 7.847 8.346 7.779
0.0001 -2.19174 10.00000 0.2080357224 1.7204495903    0.207 -1.902  3.6260  5.112    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.62e-16      0.00 7.392e-01 2.607e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.524 12.493 10.680 9.724 9.309 9.117 9.001 9.705 10.367 8.911 9.466 8.942 8.931 8.849 8.846 8.889 9.586 8.620 8.279 7.901 7.519 7.366 7.866 7.297
0.0001 -2.19174 10.00000 0.2571428716 1.8581268277    0.257 -1.712  3.6360  5.055    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-15      0.00 7.393e-01 2.606e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.049 11.819 10.113 9.217 8.827 8.649 8.542 9.201 9.829 8.431 8.977 8.489 8.479 8.406 8.405 8.450 9.080 8.152 7.826 7.457 7.079 6.926 7.421 6.859
0.0001 -2.19174 10.00000 0.3062500358 1.9652636675    0.306 -1.565  3.6444  5.018    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-15      0.00 7.394e-01 2.605e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.682 11.295 9.674 8.824 8.454 8.287 8.188 8.811 9.411 8.061 8.598 8.140 8.131 8.066 8.068 8.116 8.687 7.790 7.476 7.116 6.744 6.593 7.080 6.528
0.0001 -2.19174 10.00000 0.3553571403 2.0521113302    0.355 -1.442  3.6522  4.991    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.44e-15      0.00 7.404e-01 2.595e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.000e-04 8.375 10.848 9.304 8.494 8.142 7.985 7.893 8.483 9.059 7.750 8.280 7.849 7.842 7.785 7.790 7.842 8.357 7.488 7.185 6.833 6.467 6.321 6.798 6.258
0.0001 -2.19174 10.00000 0.4044643044 2.1246090444    0.404 -1.324  3.6604  4.962    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.1e-15      0.00 7.502e-01 2.497e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 8.079 10.409 8.946 8.176 7.842 7.695 7.610 8.166 8.718 7.452 7.975 7.572 7.566 7.518 7.527 7.583 8.040 7.199 6.907 6.563 6.205 6.063 6.530 6.003
